sin+,sin-,v_high,v_low,voltage
0,1,3,2,-9.629753e-08
0,1,4,3,1.238742e-04
0,1,5,4,8.790103e-05
0,1,6,5,2.058591e-04
0,1,7,6,2.766385e-04
0,1,8,7,3.353991e-04
0,1,9,8,3.826809e-04
0,1,10,9,4.112906e-04
0,1,11,10,5.601474e-04
0,1,12,11,7.489650e-04
0,1,13,12,1.168430e-03
0,1,14,13,1.287930e-03
0,1,15,14,1.379012e-03
0,1,16,15,1.442614e-03
0,1,17,16,1.474025e-03
0,1,18,17,1.477252e-03
0,1,19,18,1.577106e-03
0,1,20,19,1.873405e-03
0,1,21,20,1.988858e-03
0,1,22,21,1.974158e-03
0,1,23,22,1.955749e-03
0,1,24,23,1.914171e-03
0,1,25,24,1.862359e-03
0,1,26,25,1.791600e-03
0,1,27,26,1.842877e-03
0,1,28,27,1.602535e-03
0,1,29,28,1.274769e-03
0,1,30,29,1.184754e-03
0,1,31,30,1.081166e-03
1,2,4,3,9.970414e-04
1,2,5,4,9.614808e-04
1,2,6,5,8.086213e-04
1,2,7,6,5.491340e-04
1,2,8,7,3.384068e-04
1,2,9,8,1.525954e-04
1,2,10,9,-2.611995e-05
1,2,11,10,-2.308287e-04
1,2,12,11,-3.183477e-04
1,2,13,12,-4.557512e-04
1,2,14,13,-5.903987e-04
1,2,15,14,-6.092179e-04
1,2,16,15,-5.262760e-04
1,2,17,16,-4.246253e-04
1,2,18,17,-2.759787e-04
1,2,19,18,-7.593099e-05
1,2,20,19,7.833582e-05
1,2,21,20,1.654051e-04
1,2,22,21,3.148597e-04
1,2,23,22,5.127799e-04
1,2,24,23,6.888590e-04
1,2,25,24,8.557033e-04
1,2,26,25,1.007372e-03
1,2,27,26,1.148123e-03
1,2,28,27,1.178036e-03
1,2,29,28,1.129100e-03
1,2,30,29,1.059591e-03
1,2,31,30,1.032293e-03
1,2,0,31,1.020919e-03
2,3,1,0,1.037100e-03
2,3,5,4,9.350633e-04
2,3,6,5,7.745094e-04
2,3,7,6,6.561661e-04
2,3,8,7,5.433022e-04
2,3,9,8,4.481445e-04
2,3,10,9,3.581718e-04
2,3,11,10,3.223237e-04
2,3,12,11,3.190664e-04
2,3,13,12,3.168382e-04
2,3,14,13,3.089577e-04
2,3,15,14,2.979703e-04
2,3,16,15,2.871843e-04
2,3,17,16,2.804347e-04
2,3,18,17,3.012210e-04
2,3,19,18,3.398017e-04
2,3,20,19,3.999096e-04
2,3,21,20,4.561693e-04
2,3,22,21,5.070278e-04
2,3,23,22,5.438821e-04
2,3,24,23,5.765264e-04
2,3,25,24,5.950498e-04
2,3,26,25,6.300785e-04
2,3,27,26,6.603352e-04
2,3,28,27,6.773564e-04
2,3,29,28,6.815098e-04
2,3,30,29,6.785106e-04
2,3,31,30,6.705045e-04
2,3,0,31,6.596592e-04
3,4,1,0,6.455685e-04
3,4,2,1,6.757926e-04
3,4,6,5,6.350255e-04
